ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
00000000,BCO DO BRASIL S.A.                                          ,001,Sim,RSFN,Banco do Brasil S.A.                                                            ,22/04/2002
00000208,BRB - BCO DE BRASILIA S.A.                                  ,070,Sim,RSFN,BRB - BANCO DE BRASILIA S.A.                                                    ,22/04/2002
00038121,Selic                              ,n/a,Não,RSFN,Banco Central do Brasil - Selic                                                 ,22/04/2002
00038166,Bacen                              ,n/a,Não,RSFN,Banco Central do Brasil                                                         ,22/04/2002
00204963,CCR SEARA                                                   ,430,Não,RSFN,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA                                 ,27/08/2021
00250699,AGK CC S.A.                                                 ,272,Não,RSFN,AGK CORRETORA DE CAMBIO S.A.                                                    ,21/11/2018
00315557,CONF NAC COOP CENTRAIS UNICRED                              ,136,Sim,RSFN,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI,28/07/2014
00329598,ÍNDIGO INVESTIMENTOS DTVM LTDA.                             ,407,Não,RSFN,ÍNDIGO INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.       ,22/02/2021
00360305,CAIXA ECONOMICA FEDERAL                                     ,104,Sim,RSFN,CAIXA ECONOMICA FEDERAL                                                         ,22/04/2002
00394460,STN                                ,n/a,Não,RSFN,Secretaria do Tesouro Nacional - STN                                            ,22/04/2002
00416968,BANCO INTER                                                 ,077,Sim,RSFN,Banco Inter S.A.                                                                ,15/08/2008
00460065,COLUNA S.A. DTVM                                            ,423,Não,RSFN,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS                       ,07/06/2021
00517645,BCO RIBEIRAO PRETO S.A.                                     ,741,Sim,RSFN,BANCO RIBEIRAO PRETO S.A.                                                       ,22/04/2002
00556603,BANCO BARI S.A.                                             ,330,Não,RSFN,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.                               ,22/07/2019
00558456,BCO CETELEM S.A.                                            ,739,Sim,RSFN,Banco Cetelem S.A.                                                              ,22/04/2002
00795423,BANCO SEMEAR                                                ,743,Sim,RSFN,Banco Semear S.A.                                                               ,22/04/2002
00806535,PLANNER CV S.A.                                             ,100,Não,RSFN,Planner Corretora de Valores S.A.                                               ,27/04/2011
00997185,BCO B3 S.A.                                                 ,096,Não,RSFN,Banco B3 S.A.                                                                   ,12/11/2004
01023570,BCO RABOBANK INTL BRASIL S.A.                               ,747,Não,RSFN,Banco Rabobank International Brasil S.A.                                        ,22/04/2002
01027058,CIELO S.A.                                                  ,362,Não,RSFN,CIELO S.A.                                                                      ,17/07/2020
01073966,CCR DE ABELARDO LUZ                                         ,322,Sim,RSFN,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz                ,14/06/2019
